Manufacturer,Model,SystemID,Security Level
AMAZON,KFTBWI,6332,L1
AMAZON,KFTBWI/KFTBWI,6140,L1
Amazon,LAB126,5511,L1
Amazon,LagunaB,17804,L1
Amazon,LagunaB-Prod,21693,L1
Amazon,LagunaF,17803,L1
Amazon,LagunaF-Prod,20573,L1
Amazon,Mac,8892,L3
Amazon,Mango-Prod,24625,L1
Amazon,Mantis-Prod2,17461,L1
Amazon,Montana,22035,L1
Amazon,Montana-Prod,22345,L1
Amazon,MontanaH,21478,L1
Amazon,MontanaH-Prod,21479,L1
Amazon,Onyx-Prod,16785,L1
Amazon,Onyx-Test,14669,L1
Amazon,OSX,13064,L3
Amazon,OSX,14247,L3
Amazon,Peach-Prod,21859,L1
Amazon,Primrose-Prod,19248,L1
Amazon,Primrose-Test,16163,L1
Amazon,PW98VM,5481,L1
Amazon,Quartz-Prod,24268,L1
Amazon,Quartz-Test,23542,L1
Amazon,Rancho,17813,L1
Amazon,Rancho-Prod,20223,L1
Amazon,Raspite,24873,L1
Amazon,Raspite,24874,L1
Amazon,RaspitePlus,24876,L1
Amazon,Raven/AFTR/Raven,11776,L1
Amazon,SG98EG,6064,L1
Amazon,Sheldon,16545,L1
Amazon,Sheldon-Prod,17689,L1
Amazon,SheldonPlus,17690,L1
Amazon,SheldonPlus-Prod,17706,L1
Amazon,Shelly,21917,L1
Amazon,Shelly-Prod,21918,L1
Amazon,Shine-Prod,26130,L1
Amazon,Skipper-Prod,18883,L1
Amazon,Smita-Prod,18316,L1
Amazon,Sophia2-Prod,17976,L1
Amazon,Steffi-Prod,17574,L1
Amazon,Test-CDM,26493,L3
Amazon,Test2014.01,5377,L1
AMAZON,TFH001/KFTBWI,6409,L1
AMAZON,TFH001/KFTBWI,6670,L1
Amazon,Theia-Prod,17814,L1
Amazon,Trona,18569,L1
Amazon,Trona-Prod,18570,L1
Amazon,TronaPlus,18716,L1
Amazon,TronaPlus-Prod,18717,L1
Amazon,TronaPlusS-Prod,19530,L1
Amazon,TronaS-Prod,19528,L1
Amazon,Vesta-Prod,18043,L1
Amazon,Windows,13063,L3
Amazon,Windows,14248,L3
Amazon,Windows,8891,L3
Amazon,Winston,17591,L1
Amazon,Winston-Prod,18444,L1
Amedia,,14636,L1
Amedia,X96 air,21983,L1
Amino,,26635,L1
Amino,,6557,L1
Amino,,7586,L3
Amino,,7599,L3
Amino,,7605,L3
Amino,,7609,L3
Amino,,7623,L3
Amino,,7899,L1
Amino,Amigo 7X,12857,L1
Amino,Amulet650m,6912,L1
Amino,Amulet750Q,7657,L1
Amino,Aria 7/Amino model,7689,L1
Amino,H200,22485,L1
Amino,Kamai 7X,8027,L1
Amino,Kamai 8R/R180,23316,L1
Amino,Kamai750,7659,L1
Amino,Kamai750Q,7642,L1
Aminocom TV,,16194,L1
Aminocom TV,,17647,L1
Aminocom TV,3103,21774,L1
Aminocom TV,Amigo,9109,L1
Aminocom TV,Amigo7x,15799,L1
Aminocom TV,Amigo7x3,23198,L1
Aminocom TV,Amigo7x3SBC,20786,L1
Aminocom TV,Amigo7xcCN,16190,L1
Aminocom TV,Amigo7xESP,17496,L1
Aminocom TV,Amigo7xGM,17640,L1
Aminocom TV,Amigo7xJDS,17495,L1
Aminocom TV,Amigo7xJP,21155,L1
Aminocom TV,Amigo7xSCB,16168,L1
Aminocom TV,Amigo7xYUF,17494,L1
Aminocom TV,eSTREAM4K_4x4,8592,L1
Aminocom TV,Kamai7,10802,L1
Aminocom TV,Kamai7B,11071,L1
AMLogic,,15860,L1
AMLogic,,18196,L1
AMLogic,,18197,L1
AMLogic,,18525,L1
AMLogic,,20523,L1
AMLogic,,21119,L1
Amlogic,,21857,L1
AMLogic,,6770,L1
amlogic,,6959,L3
AMLogic,,7007,L1
Amlogic,,7673,L3
